sample,eps_inf,wp_d,gamma_d,wp_l,gamma_l,sigma_dc
n3,1.0000000000000056,6601.3366888979535,1200.5243209244545,4456.2846787356775,2999.9999999999286,36298.84486357891
n6,99.99999999899157,64977.017874553545,3271.9134758054824,14999.999860155474,67.3105869489375,1290380.3487134306
