sample,eps_inf,wp_d,gamma_d,wp_l,gamma_l
n3,75.58261332004103,34445.89933543942,9999.999999995573,100.00000000021835,4999.999999999999
n6,9.210515336813218,47206.32334947714,9999.999999999995,24985.055531677783,31.510581858259695
