sample,wp_d_cm^-1,gamma_cm^-1,gamma_s^-1,omega_p_s^-1,sigma_dc_S/m,carrier_density_m^-3,carrier_density_cm^-3
n3,6601.3366888979535,1200.5243209244543,226136951870174.5,1243461820037606.5,60539.95668532984,4.8582722463337775e+26,4.8582722463337775e+20
n6,64977.017874553545,3271.9134758054824,616314494679995.5,1.2239406155845816e+16,2152122.7662287,4.706928828638389e+28,4.7069288286383895e+22
